code	code_idx	task	mis	notes	stu_id
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_right'}]}]}]}]}	0	hoc18	1.0	stu	stu1
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_left', 'children': [{'type': 'do', 'children': [{'type': 'turn_left'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	1	hoc18	2.0	stu	stu2
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'turn_left'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}, {'type': 'move'}]}]}	2	hoc18	3.0	stu	stu3
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}]}]}	3	hoc18	4.0	stu	stu4
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}]}	4	hoc18	5.0	stu	stu5
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	5	hoc18	6.0	stu	stu6
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_left', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	6	hoc18	1.0	stu	stu7
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	7	hoc18	2.0	stu	stu8
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}, {'type': 'turn_left'}]}]}	8	hoc18	3.0	stu	stu9
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}]}	9	hoc18	4.0	stu	stu10
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'ifelse bool_path_left', 'children': [{'type': 'do', 'children': [{'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}, {'type': 'move'}, {'type': 'move'}]}	10	hoc18	5.0	stu	stu11
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	11	hoc18	6.0	stu	stu12
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}]}]}	12	hoc18a	1.0	stu	stu1
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	13	hoc18a	2.0	stu	stu2
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}, {'type': 'turn_right'}]}, {'type': 'else', 'children': [{'type': 'move'}, {'type': 'turn_right'}]}]}]}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	14	hoc18a	3.0	stu	stu3
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}]}]}	15	hoc18a	4.0	stu	stu4
{'type': 'run', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}]}]}	16	hoc18a	5.0	stu	stu5
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	17	hoc18a	6.0	stu	stu6
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'turn_left'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	18	hoc18a	1.0	stu	stu7
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_left', 'children': [{'type': 'do', 'children': [{'type': 'turn_left'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	19	hoc18a	2.0	stu	stu8
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}]}, {'type': 'else', 'children': [{'type': 'turn_right'}]}]}, {'type': 'move'}]}]}	20	hoc18a	3.0	stu	stu9
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'while', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}]}]}	21	hoc18a	4.0	stu	stu10
{'type': 'run', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_right'}]}]}]}	22	hoc18a	5.0	stu	stu11
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	23	hoc18a	6.0	stu	stu12
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_left', 'children': [{'type': 'do', 'children': [{'type': 'turn_left'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	24	hoc18b	1.0	stu	stu1
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_right'}]}]}]}]}	25	hoc18b	2.0	stu	stu2
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}]}, {'type': 'else', 'children': [{'type': 'turn_right'}]}]}, {'type': 'move'}]}]}	26	hoc18b	3.0	stu	stu3
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}]}]}	27	hoc18b	4.0	stu	stu4
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}	28	hoc18b	5.0	stu	stu5
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	29	hoc18b	6.0	stu	stu6
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_left', 'children': [{'type': 'do', 'children': [{'type': 'turn_left'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	30	hoc18b	1.0	stu	stu7
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_left', 'children': [{'type': 'do', 'children': [{'type': 'turn_left'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	31	hoc18b	2.0	stu	stu8
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}, {'type': 'turn_right'}]}]}	32	hoc18b	3.0	stu	stu9
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'while', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}]}]}	33	hoc18b	4.0	stu	stu10
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	34	hoc18b	5.0	stu	stu11
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_right'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}]}	35	hoc18b	6.0	stu	stu12
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	36	hoc18c	1.0	stu	stu1
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_ahead', 'children': [{'type': 'do', 'children': [{'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}]}]}	37	hoc18c	2.0	stu	stu2
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_left', 'children': [{'type': 'do', 'children': [{'type': 'turn_left'}]}, {'type': 'else', 'children': [{'type': 'turn_left'}]}]}, {'type': 'move'}]}]}	38	hoc18c	3.0	stu	stu3
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}]}]}	39	hoc18c	4.0	stu	stu4
{'type': 'run', 'children': [{'type': 'ifelse bool_path_left', 'children': [{'type': 'do', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}	40	hoc18c	5.0	stu	stu5
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'move'}]}	41	hoc18c	6.0	stu	stu6
{'type': 'run', 'children': [{'type': 'while', 'children': [{'type': 'ifelse bool_path_left', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	42	hoc18c	1.0	stu	stu7
{'type': 'run', 'children': [{'type': 'move'}, {'type': 'move'}, {'type': 'move'}, {'type': 'turn_left'}, {'type': 'while', 'children': [{'type': 'ifelse bool_path_right', 'children': [{'type': 'do', 'children': [{'type': 'turn_right'}, {'type': 'move'}]}, {'type': 'else', 'children': [{'type': 'move'}]}]}]}]}	43	hoc18c	2.0	stu	stu8
